motor_angle_deg,ambient_temp_c,elapsed_time_min,raw_phase_deg,raw_mag_dB,phase_drift_error_deg,true_phase_deg,true_mag_dB,predicted_drift_deg,calibrated_phase_deg
-147.0,22.025,0.528,-38.0963,-21.2287,0.0126,-36.8883,-20.9818,0.0131,-38.1094
-146.0,22.026,0.544,-37.9855,-22.8608,0.013,-38.9225,-23.3397,0.0138,-37.9993
-145.0,22.027,0.56,-39.2815,-27.4573,0.0134,-40.9884,-26.9828,0.0138,-39.2953
-144.0,22.028,0.576,-43.2407,-33.4188,0.0138,-43.0836,-33.7,0.0146,-43.2553
-143.0,22.028,0.592,-46.4515,-48.8605,0.0142,-45.2055,-50.0,0.0151,-46.4666
-142.0,22.029,0.608,-48.5736,-31.3966,0.0147,-47.3516,-31.978,0.0156,-48.5892
-141.0,22.03,0.624,-48.5282,-26.8899,0.0151,-49.5192,-26.9433,0.0156,-48.5438
-140.0,22.031,0.64,-50.5754,-23.8557,0.0155,-51.7058,-24.1991,0.0162,-50.5916
-139.0,22.032,0.656,-53.078,-23.0669,0.0159,-53.9086,-22.519,0.0164,-53.0944
-138.0,22.032,0.672,-57.107,-22.1258,0.0163,-56.125,-21.4965,0.0166,-57.1236
-137.0,22.033,0.688,-57.9873,-20.9386,0.0168,-58.3523,-20.95,0.0166,-58.0039
-136.0,22.034,0.704,-60.3955,-20.629,0.0172,-60.5877,-20.7884,0.0176,-60.4131
-135.0,22.035,0.72,-62.4828,-20.5286,0.0176,-62.8284,-20.9663,0.0176,-62.5004
-134.0,22.035,0.736,-63.7466,-21.6957,0.018,-65.0717,-21.4682,0.0176,-63.7642
-133.0,22.036,0.752,-66.961,-22.2266,0.0185,-67.3149,-22.3039,0.0175,-66.9785
-132.0,22.037,0.768,-68.5177,-23.4494,0.0189,-69.555,-23.5131,0.0175,-68.5352
-131.0,22.038,0.784,-71.6687,-25.2335,0.0193,-71.7894,-25.1809,0.017,-71.6857
-130.0,22.038,0.8,-73.5617,-27.5117,0.0198,-74.0152,-27.4827,0.0172,-73.5789
-129.0,22.039,0.816,-75.2625,-31.16,0.0202,-76.2296,-30.8182,0.0172,-75.2797
-128.0,22.04,0.832,-80.595,-36.2943,0.0206,-78.4299,-36.4062,0.0169,-80.6119
-127.0,22.041,0.848,-81.0718,-49.922,0.0211,-80.6133,-50.0,0.0169,-81.0887
-126.0,22.042,0.864,-83.4611,-39.263,0.0215,-82.7771,-39.087,0.0169,-83.478
-125.0,22.042,0.88,-85.8549,-32.4881,0.0219,-84.9185,-32.7544,0.0169,-85.8718
-124.0,22.043,0.896,-87.4251,-29.0044,0.0224,-87.0348,-29.4156,0.0167,-87.4418
-123.0,22.044,0.912,-86.8581,-26.9941,0.0228,-89.1234,-27.2651,0.0167,-86.8748
-122.0,22.045,0.928,-92.457,-26.1927,0.0233,-91.1815,-25.7758,0.0233,-92.4803
-121.0,22.045,0.944,-91.7305,-24.6789,0.0237,-93.2066,-24.7188,0.0233,-91.7538
-120.0,22.046,0.96,-97.6963,-24.3381,0.0242,-95.1962,-23.9735,0.0174,-97.7137
-119.0,22.047,0.976,-97.6253,-23.4295,0.0246,-97.1475,-23.4681,0.0307,-97.656
-118.0,22.048,0.992,-98.7891,-23.5195,0.025,-99.0583,-23.1565,0.0292,-98.8183
-117.0,22.048,1.008,-100.0212,-22.4961,0.0255,-100.926,-23.007,0.0292,-100.0504
-116.0,22.049,1.024,-101.6555,-22.6838,0.0259,-102.7483,-22.9972,0.0294,-101.6849
-115.0,22.05,1.04,-103.3063,-22.6494,0.0264,-104.5227,-23.1106,0.0294,-103.3357
-114.0,22.051,1.056,-106.7434,-22.9144,0.0268,-106.2471,-23.3351,0.0306,-106.774
-113.0,22.051,1.072,-108.5855,-23.7697,0.0273,-107.9193,-23.6615,0.0306,-108.6161
-112.0,22.052,1.088,-108.2223,-24.2531,0.0277,-109.537,-24.0829,0.0306,-108.2529
-111.0,22.053,1.104,-111.3569,-23.8977,0.0282,-111.0982,-24.5944,0.0308,-111.3877
-110.0,22.054,1.12,-114.4857,-25.2587,0.0286,-112.6008,-25.1926,0.0308,-114.5165
-109.0,22.055,1.136,-115.7139,-26.4177,0.0291,-114.043,-25.8758,0.0308,-115.7447
-108.0,22.055,1.152,-116.7726,-26.2404,0.0295,-115.4229,-26.6434,0.0309,-116.8035
-107.0,22.056,1.168,-115.963,-27.4388,0.03,-116.7387,-27.4963,0.0309,-115.9939
-106.0,22.057,1.184,-117.7446,-27.8344,0.0305,-117.9887,-28.4368,0.0311,-117.7757
-105.0,22.058,1.2,-118.1047,-29.3719,0.0309,-119.1713,-29.4691,0.0311,-118.1358
-104.0,22.058,1.216,-120.8944,-30.6072,0.0314,-120.2849,-30.5992,0.0319,-120.9263
-103.0,22.059,1.232,-121.0585,-31.225,0.0318,-121.3282,-31.8354,0.0324,-121.0909
-102.0,22.06,1.248,-121.329,-33.8047,0.0323,-122.2996,-33.1893,0.0327,-121.3617
-101.0,22.061,1.264,-123.6294,-34.9105,0.0328,-123.1981,-34.6763,0.0332,-123.6626
-100.0,22.061,1.28,-123.3041,-36.6721,0.0332,-124.0225,-36.3172,0.034,-123.3381
-99.0,22.062,1.296,-125.7307,-39.0183,0.0337,-124.7715,-38.1403,0.034,-125.7647
-98.0,22.063,1.312,-125.9548,-39.8357,0.0341,-125.4444,-40.1849,0.035,-125.9898
-97.0,22.064,1.328,-126.5782,-42.7302,0.0346,-126.0402,-42.5073,0.035,-126.6132
-96.0,22.064,1.344,-128.3168,-44.8283,0.0351,-126.5581,-45.1904,0.0359,-128.3527
-95.0,22.065,1.36,-126.2315,-48.2086,0.0355,-126.9975,-48.3643,0.0359,-126.2674
-94.0,22.066,1.376,-128.0259,-49.7571,0.036,-127.3578,-50.0,0.037,-128.0629
-93.0,22.067,1.392,-127.5833,-50.1822,0.0365,-127.6385,-50.0,0.037,-127.6203
-92.0,22.068,1.408,-127.0812,-50.3057,0.0369,-127.8392,-50.0,0.0383,-127.1195
-91.0,22.068,1.424,-127.2526,-49.9641,0.0374,-127.9598,-50.0,0.0383,-127.2909
-90.0,22.069,1.44,-126.964,-49.6323,0.0379,-128.0,-50.0,0.0393,-127.0033
-89.0,22.07,1.456,-128.0692,-50.0202,0.0383,-127.9598,-50.0,0.0393,-128.1085
-88.0,22.071,1.472,-128.4354,-50.2808,0.0388,-127.8392,-50.0,0.0403,-128.4757
-87.0,22.071,1.488,-127.7188,-50.4796,0.0393,-127.6385,-50.0,0.0403,-127.7591
-86.0,22.072,1.504,-129.849,-49.9183,0.0398,-127.3578,-50.0,0.0419,-129.8909
-85.0,22.073,1.52,-129.1279,-48.5859,0.0402,-126.9975,-48.3643,0.0419,-129.1698
-84.0,22.074,1.536,-128.5014,-45.2191,0.0407,-126.5581,-45.1904,0.0422,-128.5436
-83.0,22.074,1.552,-127.4949,-42.6028,0.0412,-126.0402,-42.5073,0.0422,-127.5371
-82.0,22.075,1.568,-124.8031,-40.3627,0.0417,-125.4444,-40.1849,0.0431,-124.8462
-81.0,22.076,1.584,-126.0876,-38.0228,0.0421,-124.7715,-38.1403,0.0424,-126.13
-80.0,22.077,1.6,-124.5471,-36.0954,0.0426,-124.0225,-36.3172,0.044,-124.5911
-79.0,22.077,1.616,-121.2062,-33.8902,0.0431,-123.1981,-34.6763,0.0437,-121.2499
-78.0,22.078,1.632,-122.7905,-32.8862,0.0436,-122.2996,-33.1893,0.0444,-122.8349
-77.0,22.079,1.648,-120.1778,-31.198,0.0441,-121.3282,-31.8354,0.0435,-120.2213
-76.0,22.08,1.664,-121.6408,-30.9266,0.0445,-120.2849,-30.5992,0.0444,-121.6852
-75.0,22.081,1.68,-119.4344,-30.1095,0.045,-119.1713,-29.4691,0.0435,-119.4779
-74.0,22.081,1.696,-119.3682,-28.4426,0.0455,-117.9887,-28.4368,0.0437,-119.4119
-73.0,22.082,1.712,-117.2013,-27.1531,0.046,-116.7387,-27.4963,0.0434,-117.2447
-72.0,22.083,1.728,-114.116,-26.3629,0.0465,-115.4229,-26.6434,0.0433,-114.1593
-71.0,22.084,1.744,-116.5871,-25.3913,0.047,-114.043,-25.8758,0.0436,-116.6307
-70.0,22.084,1.76,-111.9017,-26.2073,0.0474,-112.6008,-25.1926,0.0433,-111.945
-69.0,22.085,1.776,-110.6936,-24.0932,0.0479,-111.0982,-24.5944,0.0434,-110.737
-68.0,22.086,1.792,-110.3798,-23.9487,0.0484,-109.537,-24.0829,0.0434,-110.4232
-67.0,22.087,1.808,-110.0394,-24.2791,0.0489,-107.9193,-23.6615,0.0434,-110.0828
-66.0,22.087,1.824,-106.0896,-23.0457,0.0494,-106.2471,-23.3351,0.0432,-106.1328
-65.0,22.088,1.84,-105.2671,-23.0428,0.0499,-104.5227,-23.1106,0.0431,-105.3102
-64.0,22.089,1.856,-102.3489,-22.8447,0.0504,-102.7483,-22.9972,0.0518,-102.4007
-63.0,22.09,1.872,-100.8424,-22.6073,0.0509,-100.926,-23.007,0.0518,-100.8942
-62.0,22.09,1.888,-96.6043,-22.9844,0.0514,-99.0583,-23.1565,0.0514,-96.6557
-61.0,22.091,1.904,-97.4547,-24.0573,0.0518,-97.1475,-23.4681,0.0517,-97.5064
-60.0,22.092,1.92,-96.6791,-24.0307,0.0523,-95.1962,-23.9735,0.0484,-96.7275
-59.0,22.093,1.936,-92.8849,-25.3658,0.0528,-93.2066,-24.7188,0.0587,-92.9436
-58.0,22.093,1.952,-90.7982,-25.5161,0.0533,-91.1815,-25.7758,0.0587,-90.8569
-57.0,22.094,1.968,-87.0308,-26.7059,0.0538,-89.1234,-27.2651,0.0586,-87.0894
-56.0,22.095,1.984,-85.7278,-29.9122,0.0543,-87.0348,-29.4156,0.0586,-85.7864
-55.0,22.096,2.0,-84.3284,-33.023,0.0548,-84.9185,-32.7544,0.0586,-84.387
-54.0,22.096,2.016,-80.5268,-39.4399,0.0553,-82.7771,-39.087,0.0586,-80.5854
-53.0,22.097,2.032,-82.3407,-50.1816,0.0558,-80.6133,-50.0,0.0586,-82.3993
-52.0,22.098,2.048,-79.3332,-36.2412,0.0563,-78.4299,-36.4062,0.0586,-79.3918
-51.0,22.099,2.064,-77.5627,-30.9954,0.0568,-76.2296,-30.8182,0.059,-77.6217
-50.0,22.1,2.08,-74.5426,-27.2217,0.0573,-74.0152,-27.4827,0.0594,-74.602
-49.0,22.1,2.096,-73.7966,-24.7548,0.0578,-71.7894,-25.1809,0.0594,-73.856
-48.0,22.101,2.112,-68.544,-23.0723,0.0583,-69.555,-23.5131,0.061,-68.605
-47.0,22.102,2.128,-67.5894,-22.7512,0.0588,-67.3149,-22.3039,0.061,-67.6504
-46.0,22.103,2.144,-67.2187,-20.9138,0.0593,-65.0717,-21.4682,0.0612,-67.2799
-45.0,22.103,2.16,-64.292,-20.3799,0.0598,-62.8284,-20.9663,0.0612,-64.3532
-44.0,22.104,2.176,-60.0571,-20.1674,0.0603,-60.5877,-20.7884,0.0612,-60.1183
-43.0,22.105,2.192,-57.0343,-21.0132,0.0608,-58.3523,-20.95,0.0627,-57.097
-42.0,22.106,2.208,-53.0686,-21.7972,0.0613,-56.125,-21.4965,0.0626,-53.1312
-41.0,22.106,2.224,-49.476,-22.9127,0.0618,-53.9086,-22.519,0.0631,-49.5391
-40.0,22.107,2.24,-51.0218,-24.6398,0.0623,-51.7058,-24.1991,0.0632,-51.085
-39.0,22.108,2.256,-50.9407,-26.9386,0.0628,-49.5192,-26.9433,0.0633,-51.004
-38.0,22.109,2.272,-50.4863,-31.6388,0.0633,-47.3516,-31.978,0.0633,-50.5496
-37.0,22.109,2.288,-44.7401,-49.4774,0.0638,-45.2055,-50.0,0.0642,-44.8043
-36.0,22.11,2.304,-44.2386,-33.8943,0.0643,-43.0836,-33.7,0.0644,-44.303
-35.0,22.111,2.32,-41.5466,-26.9983,0.0649,-40.9884,-26.9828,0.065,-41.6116
-34.0,22.112,2.336,-39.7752,-23.3814,0.0654,-38.9225,-23.3397,0.0654,-39.8406
-33.0,22.112,2.352,-37.0336,-21.236,0.0659,-36.8883,-20.9818,0.0662,-37.0998
-32.0,22.113,2.368,-33.2228,-19.1091,0.0664,-34.8882,-19.4034,0.0666,-33.2894
-31.0,22.114,2.384,-32.6222,-18.2587,0.0669,-32.9247,-18.4038,0.0671,-32.6893
-30.0,22.115,2.4,-31.1705,-17.8451,0.0674,-31.0,-17.9018,0.0678,-31.2383
-29.0,22.115,2.416,-30.602,-17.7401,0.0679,-29.1164,-17.8835,0.0683,-30.6703
-28.0,22.116,2.432,-29.7198,-18.1479,0.0684,-27.2762,-18.3941,0.0688,-29.7886
-27.0,22.117,2.448,-26.142,-19.3198,0.0689,-25.4815,-19.562,0.0688,-26.2108
-26.0,22.118,2.464,-23.7455,-22.0246,0.0695,-23.7342,-21.6892,0.0692,-23.8147
-25.0,22.118,2.48,-19.3147,-25.2548,0.07,-22.0366,-25.6133,0.0699,-19.3846
-24.0,22.119,2.496,-20.1246,-35.5315,0.0705,-20.3905,-35.6336,0.0702,-20.1948
-23.0,22.12,2.512,-17.2526,-32.7016,0.071,-18.7977,-32.5277,0.0702,-17.3228
-22.0,22.121,2.528,-17.9376,-23.515,0.0715,-17.2602,-23.6086,0.0705,-18.0081
-21.0,22.121,2.544,-17.4849,-19.1884,0.072,-15.7795,-19.3262,0.0705,-17.5554
-20.0,22.122,2.56,-15.7325,-16.2186,0.0725,-14.3574,-16.6513,0.0705,-15.803
-19.0,22.123,2.576,-14.0102,-15.3139,0.0731,-12.9954,-14.8954,0.0705,-14.0807
-18.0,22.124,2.592,-8.4288,-13.2795,0.0736,-11.695,-13.8095,0.0704,-8.4992
-17.0,22.124,2.608,-11.6157,-13.2943,0.0741,-10.4577,-13.3036,0.0705,-11.6862
-16.0,22.125,2.624,-7.9523,-13.5838,0.0746,-9.2846,-13.3813,0.0704,-8.0227
-15.0,22.126,2.64,-9.4564,-14.3572,0.0751,-8.1772,-14.1425,0.0705,-9.5269
-14.0,22.127,2.656,-5.6634,-16.2623,0.0757,-7.1364,-15.8618,0.07,-5.7334
-13.0,22.127,2.672,-5.5098,-20.0199,0.0762,-6.1634,-19.3235,0.07,-5.5798
-12.0,22.128,2.688,-5.4174,-28.1436,0.0767,-5.2592,-28.4146,0.07,-5.4874
-11.0,22.129,2.704,-4.4085,-25.5826,0.0772,-4.4245,-26.3749,0.0686,-4.4771
-10.0,22.13,2.72,-4.5648,-17.2737,0.0777,-3.6603,-16.6267,0.0694,-4.6342
-9.0,22.13,2.736,-2.2199,-12.1728,0.0783,-2.9672,-11.7926,0.0683,-2.2882
-8.0,22.131,2.752,-2.9496,-8.2529,0.0788,-2.3459,-8.5535,0.0686,-3.0182
-7.0,22.132,2.768,-3.5558,-6.1815,0.0793,-1.7967,-6.1632,0.0686,-3.6244
-6.0,22.133,2.784,-3.1574,-3.9953,0.0798,-1.3203,-4.3291,0.0833,-3.2407
-5.0,22.133,2.8,-0.5776,-2.947,0.0804,-0.9168,-2.9063,0.0818,-0.6594
-4.0,22.134,2.816,1.8629,-2.0457,0.0809,-0.5866,-1.8135,0.0815,1.7814
-3.0,22.135,2.832,-0.0084,-1.0917,0.0814,-0.3298,-1.0014,0.0818,-0.0902
-2.0,22.136,2.848,-0.2425,-1.3923,0.0819,-0.1465,-0.4395,0.0818,-0.3243
-1.0,22.136,2.864,0.4746,-0.5665,0.0825,-0.0366,-0.1091,0.0771,0.3975
0.0,22.137,2.88,2.042,0.3793,0.083,0.0,0.0,0.0771,1.9649
1.0,22.138,2.896,0.3761,0.3677,0.0835,-0.0365,-0.1091,0.0901,0.286
2.0,22.139,2.912,-0.6782,0.123,0.084,-0.1458,-0.4395,0.0902,-0.7684
3.0,22.139,2.928,1.4165,-0.8251,0.0846,-0.3275,-1.0014,0.0899,1.3266
4.0,22.14,2.944,0.147,-2.7159,0.0851,-0.5812,-1.8135,0.09,0.057
5.0,22.141,2.96,1.483,-3.1603,0.0856,-0.9062,-2.9063,0.0899,1.3931
6.0,22.142,2.976,-0.941,-3.7992,0.0862,-1.302,-4.3291,0.0903,-1.0313
7.0,22.142,2.992,-3.5178,-5.514,0.0867,-1.7678,-6.1632,0.0916,-3.6094
8.0,22.143,3.008,-4.2677,-8.0084,0.0872,-2.3027,-8.5535,0.0916,-4.3593
9.0,22.144,3.024,-0.3418,-11.8871,0.0878,-2.906,-11.7926,0.0902,-0.432
10.0,22.145,3.04,-0.9028,-17.1493,0.0883,-3.5766,-16.6267,0.0904,-0.9932
11.0,22.145,3.056,-4.4938,-26.3912,0.0888,-4.3134,-26.3749,0.0917,-4.5855
12.0,22.146,3.072,-5.6008,-28.4086,0.0894,-5.1154,-28.4146,0.0935,-5.6943
13.0,22.147,3.088,-3.6992,-18.6973,0.0899,-5.9813,-19.3235,0.0917,-3.7909
14.0,22.148,3.104,-8.48,-15.7706,0.0904,-6.9099,-15.8618,0.0943,-8.5743
15.0,22.148,3.12,-9.1509,-14.1359,0.091,-7.8998,-14.1425,0.0943,-9.2452
16.0,22.149,3.136,-7.8931,-13.3519,0.0915,-8.9496,-13.3813,0.0943,-7.9874
17.0,22.15,3.152,-10.5577,-13.1437,0.092,-10.0578,-13.3036,0.0943,-10.652
18.0,22.151,3.168,-11.138,-13.5589,0.0926,-11.2229,-13.8095,0.0944,-11.2324
19.0,22.151,3.184,-12.5954,-15.1853,0.0931,-12.4433,-14.8954,0.0946,-12.69
20.0,22.152,3.2,-13.1173,-17.0744,0.0936,-13.7173,-16.6513,0.0946,-13.2119
21.0,22.153,3.216,-12.8377,-18.778,0.0942,-15.0431,-19.3262,0.0952,-12.9329
22.0,22.153,3.232,-16.1885,-24.2651,0.0947,-16.4191,-23.6086,0.096,-16.2845
23.0,22.154,3.248,-16.7821,-31.8726,0.0952,-17.8433,-32.5277,0.0977,-16.8798
24.0,22.155,3.264,-22.2933,-36.3979,0.0958,-19.3139,-35.6336,0.0978,-22.3911
25.0,22.156,3.28,-20.8056,-25.8471,0.0963,-20.8289,-25.6133,0.0989,-20.9045
26.0,22.156,3.296,-23.5544,-21.3004,0.0969,-22.3864,-21.6892,0.0989,-23.6533
27.0,22.157,3.312,-25.7151,-19.5618,0.0974,-23.9843,-19.562,0.0997,-25.8148
28.0,22.158,3.328,-26.8399,-18.9207,0.0979,-25.6206,-18.3941,0.0997,-26.9396
29.0,22.159,3.344,-27.6959,-17.7129,0.0985,-27.2932,-17.8835,0.1007,-27.7966
30.0,22.159,3.36,-27.5271,-17.875,0.099,-29.0,-17.9018,0.1007,-27.6278
31.0,22.16,3.376,-32.6288,-18.4902,0.0996,-30.7387,-18.4038,0.1018,-32.7306
32.0,22.161,3.392,-32.3612,-19.6529,0.1001,-32.5073,-19.4034,0.1018,-32.463
33.0,22.162,3.408,-34.9289,-20.9957,0.1007,-34.3033,-20.9818,0.1024,-35.0313
34.0,22.162,3.424,-36.5151,-23.5725,0.1012,-36.1247,-23.3397,0.1024,-36.6175
35.0,22.163,3.44,-36.3633,-26.009,0.1017,-37.9692,-26.9828,0.1037,-36.467
36.0,22.164,3.456,-38.9249,-33.796,0.1023,-39.8344,-33.7,0.1037,-39.0286
37.0,22.165,3.472,-39.6091,-50.1495,0.1028,-41.718,-50.0,0.1044,-39.7135
38.0,22.165,3.488,-43.7462,-32.1946,0.1034,-43.6178,-31.978,0.1044,-43.8506
39.0,22.166,3.504,-46.4714,-26.2325,0.1039,-45.5314,-26.9433,0.1047,-46.5761
40.0,22.167,3.52,-47.6878,-24.8547,0.1045,-47.4564,-24.1991,0.1047,-47.7925
41.0,22.168,3.536,-48.9219,-22.3752,0.105,-49.3906,-22.519,0.1017,-49.0236
42.0,22.168,3.552,-50.9611,-21.5922,0.1055,-51.3315,-21.4965,0.1011,-51.0622
43.0,22.169,3.568,-54.7974,-21.5194,0.1061,-53.2769,-20.95,0.101,-54.8984
44.0,22.17,3.584,-54.982,-21.1161,0.1066,-55.2244,-20.7884,0.101,-55.083
45.0,22.17,3.6,-56.722,-20.8396,0.1072,-57.1716,-20.9663,0.1011,-56.8231
46.0,22.171,3.616,-55.2322,-21.814,0.1077,-59.1162,-21.4682,0.101,-55.3332
47.0,22.172,3.632,-58.1324,-22.2001,0.1083,-61.0559,-22.3039,0.1011,-58.2335
48.0,22.173,3.648,-64.1594,-22.8214,0.1088,-62.9884,-23.5131,0.0994,-64.2588
49.0,22.173,3.664,-65.2331,-25.1127,0.1094,-64.9114,-25.1809,0.0994,-65.3325
50.0,22.174,3.68,-68.9079,-28.0641,0.1099,-66.8226,-27.4827,0.0993,-69.0072
51.0,22.175,3.696,-69.4954,-31.1569,0.1105,-68.7198,-30.8182,0.099,-69.5944
52.0,22.176,3.712,-70.0163,-36.5204,0.111,-70.6007,-36.4062,0.1146,-70.1309
53.0,22.176,3.728,-70.5428,-50.1409,0.1116,-72.4632,-50.0,0.1131,-70.6559
54.0,22.177,3.744,-75.2864,-39.0262,0.1121,-74.305,-39.087,0.1131,-75.3995
55.0,22.178,3.76,-76.9925,-32.6294,0.1127,-76.1239,-32.7544,0.1128,-77.1053
56.0,22.179,3.776,-81.0257,-28.7234,0.1132,-77.918,-29.4156,0.1122,-81.1379
57.0,22.179,3.792,-79.8153,-27.2666,0.1138,-79.685,-27.2651,0.1108,-79.9261
58.0,22.18,3.808,-82.9023,-26.2366,0.1143,-81.423,-25.7758,0.1108,-83.0131
59.0,22.181,3.824,-83.8092,-24.2573,0.1149,-83.13,-24.7188,0.1088,-83.918
60.0,22.181,3.84,-86.0037,-23.4683,0.1154,-84.8038,-23.9735,0.1088,-86.1125
61.0,22.182,3.856,-86.4682,-23.3752,0.116,-86.4428,-23.4681,0.1236,-86.5918
62.0,22.183,3.872,-90.5649,-23.2551,0.1165,-88.0448,-23.1565,0.1236,-90.6885
63.0,22.184,3.888,-91.6917,-22.758,0.1171,-89.6082,-23.007,0.1236,-91.8153
64.0,22.184,3.904,-87.8196,-23.0816,0.1177,-91.1311,-22.9972,0.1236,-87.9432
65.0,22.185,3.92,-94.4247,-23.9329,0.1182,-92.6118,-23.1106,0.1253,-94.55
66.0,22.186,3.936,-95.5749,-23.1097,0.1188,-94.0485,-23.3351,0.1252,-95.7001
67.0,22.187,3.952,-92.565,-23.3046,0.1193,-95.4397,-23.6615,0.1236,-92.6886
68.0,22.187,3.968,-92.3063,-23.5064,0.1199,-96.7838,-24.0829,0.1236,-92.4299
69.0,22.188,3.984,-99.7161,-24.8867,0.1204,-98.0792,-24.5944,0.1257,-99.8418
70.0,22.189,4.0,-99.7559,-25.1022,0.121,-99.3245,-25.1926,0.1257,-99.8816
71.0,22.189,4.016,-99.8844,-25.7767,0.1215,-100.5183,-25.8758,0.1257,-100.0101
72.0,22.19,4.032,-98.944,-26.6092,0.1221,-101.6591,-26.6434,0.1257,-99.0697
73.0,22.191,4.048,-104.1034,-27.4503,0.1227,-102.7458,-27.4963,0.126,-104.2294
74.0,22.192,4.064,-104.0218,-28.422,0.1232,-103.7771,-28.4368,0.126,-104.1478
75.0,22.192,4.08,-103.462,-29.3844,0.1238,-104.7518,-29.4691,0.126,-103.588
76.0,22.193,4.096,-104.8923,-30.3029,0.1243,-105.6688,-30.5992,0.1261,-105.0184
77.0,22.194,4.112,-106.9665,-31.3473,0.1249,-106.5271,-31.8354,0.1286,-107.0951
78.0,22.194,4.128,-107.4011,-33.4919,0.1255,-107.3258,-33.1893,0.1286,-107.5297
79.0,22.195,4.144,-110.0003,-34.7452,0.126,-108.0639,-34.6763,0.1291,-110.1294
80.0,22.196,4.16,-108.9713,-36.4862,0.1266,-108.7407,-36.3172,0.1289,-109.1002
81.0,22.197,4.176,-109.6277,-38.3665,0.1271,-109.3552,-38.1403,0.1297,-109.7574
82.0,22.197,4.192,-109.4311,-40.8313,0.1277,-109.907,-40.1849,0.1297,-109.5608
83.0,22.198,4.208,-111.1,-42.4976,0.1283,-110.3953,-42.5073,0.1299,-111.2299
84.0,22.199,4.224,-109.9835,-44.9987,0.1288,-110.8196,-45.1904,0.1299,-110.1134
85.0,22.2,4.24,-109.531,-48.4263,0.1294,-111.1794,-48.3643,0.1302,-109.6612
